120425 173937.860|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin\logs directory.
120425 173937.860|INFO|AWT-EventQueue-0|info|
120425 173937.860|INFO|AWT-EventQueue-0|info|Version 9.1.6 20100929 (Wednesday, September 29th 2010 03:53 UTC) Java ver 1.7.0_03 build 2136 Windows 7 6.1 (x86) 
120425 173937.861|INFO|AWT-EventQueue-0|info|Login: team29 (aka team29)
120425 173937.861|INFO|AWT-EventQueue-0|login|Working directory is C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin
120425 173937.861|INFO|AWT-EventQueue-0|info|Contacting server at 140.116.82.173:50002 as TEAM29 @ site 0
120425 173937.861|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM29 @ site 0
120425 173937.861|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 TEAM29 @ site 0 -> SERVER0 @ site 0
120425 173937.862|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 TEAM29 @ site 0 -> SERVER0 @ site 0
120425 173937.862|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
120425 173937.862|INFO|Thread-6|run|send(Serializable)
120425 173938.327|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
120425 173938.330|INFO|Thread-7|info| receiveObject(S) start got Packet[LOGIN_FAILED] #474 SERVER0 @ site 1 -> TEAM29 @ site 0
120425 173938.330|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #474 ) recieveObject
120425 173938.330|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1
120425 173938.330|INFO|Thread-7|dumpPacket|    To: TEAM29 @ site 0
120425 173938.330|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
120425 173938.330|INFO|Thread-7|info|handlePacket start Packet[LOGIN_FAILED] #474 SERVER0 @ site 1 -> TEAM29 @ site 0
120425 173938.331|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #474 ) handlePacket
120425 173938.331|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1
120425 173938.331|INFO|Thread-7|dumpPacket|    To: TEAM29 @ site 0
120425 173938.331|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
120425 173938.332|INFO|Thread-7|info|handlePacket end Packet[LOGIN_FAILED] #474 SERVER0 @ site 1 -> TEAM29 @ site 0
120425 173938.333|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #474 SERVER0 @ site 1 -> TEAM29 @ site 0
