120229 205920.867|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin\logs directory.
120229 205920.867|INFO|AWT-EventQueue-0|info|
120229 205920.868|INFO|AWT-EventQueue-0|info|Version 9.1.6 20100929 (Wednesday, September 29th 2010 03:53 UTC) Java ver 1.7.0_03 build 2136 Windows 7 6.1 (x86) 
120229 205920.868|INFO|AWT-EventQueue-0|info|Login: team5 (aka team5)
120229 205920.868|INFO|AWT-EventQueue-0|login|Working directory is C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin
120229 205920.868|INFO|AWT-EventQueue-0|info|Contacting server at 140.116.82.173:50002 as TEAM5 @ site 0
120229 205920.868|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM5 @ site 0
120229 205920.876|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM5 @ site 0 -> SERVER0 @ site 0
120229 205920.877|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM5 @ site 0 -> SERVER0 @ site 0
120229 205920.877|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
120229 205920.877|INFO|Thread-4|run|send(Serializable)
120229 205921.177|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
120229 205921.236|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #5832 SERVER0 @ site 1 -> TEAM5 @ site 1
120229 205921.236|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #5832 ) recieveObject
120229 205921.236|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1
120229 205921.236|INFO|Thread-5|dumpPacket|    To: TEAM5 @ site 1
120229 205921.237|INFO|Thread-5|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
120229 205921.237|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@5b77c
120229 205921.237|INFO|Thread-5|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@151685f
120229 205921.237|INFO|Thread-5|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@19b60bb
