120229 210920.316|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin\logs directory.
120229 210920.316|INFO|AWT-EventQueue-0|info|
120229 210920.316|INFO|AWT-EventQueue-0|info|Version 9.1.6 20100929 (Wednesday, September 29th 2010 03:53 UTC) Java ver 1.7.0_03 build 2136 Windows 7 6.1 (x86) 
120229 210920.316|INFO|AWT-EventQueue-0|info|Login: board35 (aka scoreboard35)
120229 210920.317|INFO|AWT-EventQueue-0|login|Working directory is C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin
120229 210920.317|INFO|AWT-EventQueue-0|info|Contacting server at 140.116.82.173:50002 as SCOREBOARD35 @ site 0
120229 210920.317|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from SCOREBOARD35 @ site 0
120229 210920.317|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #16 SCOREBOARD35 @ site 0 -> SERVER0 @ site 0
120229 210920.317|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #16 SCOREBOARD35 @ site 0 -> SERVER0 @ site 0
120229 210920.318|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
120229 210920.318|INFO|Thread-34|run|send(Serializable)
120229 210920.734|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
120229 210920.736|INFO|Thread-35|info| receiveObject(S) start got Packet[LOGIN_FAILED] #6197 SERVER0 @ site 1 -> SCOREBOARD35 @ site 0
120229 210920.736|INFO|Thread-35|dumpPacket|Packet LOGIN_FAILED (Seq #6197 ) recieveObject
120229 210920.736|INFO|Thread-35|dumpPacket|  From: SERVER0 @ site 1
120229 210920.736|INFO|Thread-35|dumpPacket|    To: SCOREBOARD35 @ site 0
120229 210920.737|INFO|Thread-35|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
120229 210920.737|INFO|Thread-35|info|handlePacket start Packet[LOGIN_FAILED] #6197 SERVER0 @ site 1 -> SCOREBOARD35 @ site 0
120229 210920.737|INFO|Thread-35|dumpPacket|Packet LOGIN_FAILED (Seq #6197 ) handlePacket
120229 210920.737|INFO|Thread-35|dumpPacket|  From: SERVER0 @ site 1
120229 210920.737|INFO|Thread-35|dumpPacket|    To: SCOREBOARD35 @ site 0
120229 210920.737|INFO|Thread-35|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
120229 210920.738|INFO|Thread-35|info|handlePacket end Packet[LOGIN_FAILED] #6197 SERVER0 @ site 1 -> SCOREBOARD35 @ site 0
120229 210920.738|INFO|Thread-35|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #6197 SERVER0 @ site 1 -> SCOREBOARD35 @ site 0
