121128 175037.499|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin\logs directory.
121128 175037.499|INFO|AWT-EventQueue-0|info|
121128 175037.499|INFO|AWT-EventQueue-0|info|Version 9.1.6 20100929 (Wednesday, September 29th 2010 03:53 UTC) Java ver 1.7.0_03 build 2136 Windows 7 6.1 (x86) 
121128 175037.499|INFO|AWT-EventQueue-0|info|Login: team135 (aka team135)
121128 175037.499|INFO|AWT-EventQueue-0|login|Working directory is C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin
121128 175037.499|INFO|AWT-EventQueue-0|info|Contacting server at 140.116.82.173:50002 as TEAM135 @ site 0
121128 175037.499|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM135 @ site 0
121128 175037.499|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM135 @ site 0 -> SERVER0 @ site 0
121128 175037.509|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM135 @ site 0 -> SERVER0 @ site 0
121128 175037.509|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
121128 175037.509|INFO|Thread-4|run|send(Serializable)
121128 175037.949|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
121128 175037.999|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #375 SERVER0 @ site 1 -> TEAM135 @ site 1
121128 175037.999|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #375 ) recieveObject
121128 175037.999|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1
121128 175037.999|INFO|Thread-5|dumpPacket|    To: TEAM135 @ site 1
121128 175037.999|INFO|Thread-5|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
121128 175037.999|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@1d9bf04
121128 175037.999|INFO|Thread-5|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@8bb0f8
121128 175037.999|INFO|Thread-5|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@10f9a46
121128 175038.009|INFO|Thread-5|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1354096240796,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2012,MONTH=10,WEEK_OF_YEAR=48,WEEK_OF_MONTH=5,DAY_OF_MONTH=28,DAY_OF_YEAR=333,DAY_OF_WEEK=4,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=50,SECOND=40,MILLISECOND=796,ZONE_OFFSET=0,DST_OFFSET=0]
121128 175038.009|INFO|Thread-5|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@1597cac
121128 175038.009|INFO|Thread-5|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@81255
121128 175038.009|INFO|Thread-5|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@1ebaf65
121128 175038.009|INFO|Thread-5|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM135 @ site 1
121128 175038.009|INFO|Thread-5|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@4814f9
121128 175038.009|INFO|Thread-5|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@59109c
121128 175038.009|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@1518883
121128 175038.009|INFO|Thread-5|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@1d95643
