121128 211257.789|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin\logs directory.
121128 211257.789|INFO|AWT-EventQueue-0|info|
121128 211257.789|INFO|AWT-EventQueue-0|info|Version 9.1.6 20100929 (Wednesday, September 29th 2010 03:53 UTC) Java ver 1.7.0_03 build 2136 Windows 7 6.1 (x86) 
121128 211257.789|INFO|AWT-EventQueue-0|info|Login: scoreboard22 (aka scoreboard22)
121128 211257.789|INFO|AWT-EventQueue-0|login|Working directory is C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin
121128 211257.789|INFO|AWT-EventQueue-0|info|Contacting server at 140.116.82.173:50002 as SCOREBOARD22 @ site 0
121128 211257.789|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from SCOREBOARD22 @ site 0
121128 211257.799|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 SCOREBOARD22 @ site 0 -> SERVER0 @ site 0
121128 211257.799|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 SCOREBOARD22 @ site 0 -> SERVER0 @ site 0
121128 211257.799|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
121128 211257.799|INFO|Thread-3|run|send(Serializable)
